Time stamp;Contador;RSSI_DL;RSSI_UL;SNR_DL;SNR_UL;Luminosidade;LED
Sun Jun 21 20:44:32 2026;74;-75.0;-75.0;5.5;6.0;1179;0
Sun Jun 21 20:44:35 2026;75;-75.0;-76.0;5.5;5.5;1171;0
Sun Jun 21 20:44:38 2026;76;-75.0;-75.0;5.25;5.75;1179;0
Sun Jun 21 20:44:41 2026;77;-75.0;-75.0;5.5;5.5;1122;0
Sun Jun 21 20:44:43 2026;78;-75.0;-75.0;5.5;5.75;1228;0
Sun Jun 21 20:44:46 2026;79;-75.0;-75.0;5.5;5.5;1232;0
Sun Jun 21 20:44:50 2026;80;-75.0;-76.0;5.5;6.0;1111;0
Sun Jun 21 20:44:53 2026;81;-75.0;-75.0;5.5;6.0;1178;0
Sun Jun 21 20:44:55 2026;82;-75.0;-75.0;5.25;5.75;1230;0
Sun Jun 21 20:44:58 2026;83;-75.0;-75.0;5.25;5.5;1168;0
Sun Jun 21 20:45:01 2026;84;-75.0;-75.0;5.25;5.5;1197;0
Sun Jun 21 20:45:04 2026;85;-75.0;-75.0;5.0;5.75;1217;0
Sun Jun 21 20:45:07 2026;86;-75.0;-75.0;5.25;5.75;1136;0
Sun Jun 21 20:45:10 2026;87;-75.0;-76.0;5.5;5.75;1135;0
Sun Jun 21 20:45:13 2026;88;-75.0;-75.0;5.25;5.25;1099;0
Sun Jun 21 20:45:16 2026;89;-74.0;-75.0;5.5;5.5;1099;0
Sun Jun 21 20:45:18 2026;90;-78.0;-79.0;5.25;5.25;1206;0
Sun Jun 21 20:45:21 2026;91;-72.0;-71.0;5.25;6.25;1185;0
Sun Jun 21 20:45:25 2026;92;-74.0;-74.0;5.5;6.0;1200;0
Sun Jun 21 20:45:28 2026;93;-71.0;-71.0;5.5;6.0;1136;0
Sun Jun 21 20:45:31 2026;94;-73.0;-73.0;5.0;5.75;913;0
Sun Jun 21 20:45:34 2026;95;-75.0;-75.0;5.5;6.0;430;0
Sun Jun 21 20:45:37 2026;96;-75.0;-75.0;5.5;5.75;379;0
Sun Jun 21 20:45:40 2026;97;-72.0;-73.0;5.5;5.75;1110;0
Sun Jun 21 20:45:43 2026;98;-74.0;-74.0;5.75;5.75;1103;0
Sun Jun 21 20:45:46 2026;99;-80.0;-81.0;5.0;5.5;1071;0
Sun Jun 21 20:45:49 2026;100;-74.0;-74.0;5.5;5.75;1200;0
